epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3201,0.98715,4.6384,1.31544,0.02334,0.73323,0.04929,0.04045,0.72222,3.50561,1.13727,8.08282e-05,8.08282e-05,8.08282e-05
2,61.989,0.88055,3.99937,1.22163,0.27964,0.26997,0.17597,0.14096,0.75178,2.81201,1.14919,0.000160556,0.000160556,0.000160556
3,91.3928,0.89874,3.35918,1.22031,0.29637,0.40446,0.30651,0.22717,0.93437,2.32134,1.36717,0.000238674,0.000238674,0.000238674
4,120.593,0.87515,2.87032,1.19797,0.41975,0.5806,0.48878,0.38937,0.763,1.79239,1.1457,0.000236753,0.000236753,0.000236753
5,150.127,0.84984,2.48343,1.16653,0.57044,0.58666,0.60535,0.48836,0.70748,1.54507,1.11409,0.000234338,0.000234338,0.000234338
6,180.337,0.82713,2.27322,1.15822,0.56039,0.61907,0.62273,0.5026,0.70686,1.45252,1.09327,0.000231922,0.000231922,0.000231922
7,209.551,0.80678,2.06705,1.13206,0.61806,0.70592,0.70969,0.58327,0.69416,1.38929,1.10425,0.000229506,0.000229506,0.000229506
8,238.609,0.77814,1.88346,1.11736,0.62425,0.70172,0.72535,0.59305,0.67447,1.26822,1.08736,0.000227091,0.000227091,0.000227091
9,267.418,0.7646,1.74528,1.0898,0.68505,0.64952,0.73636,0.60998,0.65508,1.19906,1.06323,0.000224675,0.000224675,0.000224675
10,297.145,0.75692,1.66146,1.10006,0.67175,0.70305,0.74586,0.61985,0.64387,1.24099,1.07333,0.00022226,0.00022226,0.00022226
11,325.849,0.73298,1.54965,1.07738,0.70151,0.76308,0.79791,0.66276,0.6411,1.01768,1.04842,0.000219844,0.000219844,0.000219844
12,353.989,0.74083,1.49911,1.08921,0.71896,0.78313,0.82312,0.69892,0.59461,0.99272,1.02329,0.000217428,0.000217428,0.000217428
